SECTOR,AGENT_STAFFING,APPREHENSIONS,OTHER_THAN_MEXICAN_APPREHENSIONS,CANNABIS,COCAINE,ACCEPTED_PROSECUTIONS,ASSAULTS,RESCUES,DEATHS,YEAR
Miami,94,"4,401","2,872",564.05,10.60,108,0,,,2011
Nationwide Total,"21,444 **","340,252","54,098","2,529,684.93","9,963.38","75,846",675,"1,070",357,2011
Southwest Border Sectors Total,"18,506 *","327,577","46,997","2,518,211.42","8,762.73","74,975",666,"1,070",357,2011
Yuma,969,"5,833",417,"31,108.92",257.91,"3,163",31,5,1,2011
Tucson,"4,239","123,285","11,311","1,039,442.69",170.58,"32,703",251,509,180,2011
San Diego,"2,669","42,447","1,166","68,824.69","2,504.17","1,857",77,27,14,2011
Rio Grande Valley (formerly McAllen),"2,504","59,243","20,890","1,021,841.60","3,163.79","9,088",108,238,66,2011
El Paso,"2,738","10,345",712,"43,667.19",115.56,"6,906",37,20,6,2011
El Centro,"1,164","30,191",717,"49,815.36","1,335.25","1,197",124,28,5,2011
Del Rio,"1,626","16,144","4,447","75,325.24",442.89,"9,433",9,12,18,2011
Big Bend (formerly Marfa),667,"4,036",415,"55,742.94",262.80,950,3,28,2,2011
Northern Border Sectors Total,"2,237","6,123","2,978","9,472.22",211.59,598,2,N/A ***,N/A ***,2011
Laredo,"1,871","36,053","6,922","132,442.80",509.79,"9,678",26,203,65,2011
Spokane,257,293,59,286.45,71.64,42,0,,,2011
Swanton,302,815,653,"7,415.29",28.16,142,0,,,2011
Ramey,68,642,639,"1,223.00",958.03,155,4,,,2011
Coastal Border Sectors Total,232,"6,552","4,123","2,001.29",989.06,273,7,N/A ***,N/A ***,2011
Blaine,331,591,277,41,93,47,0,,,2011
Buffalo,311,"2,114","1,176","1,426.25",9.36,171,0,,,2011
New Orleans,70,"1,509",612,214.24,20.43,10,3,,,2011
Grand Forks,213,468,174,0.02,0.00,74,1,,,2011
Houlton,213,41,36,171.10,0.00,0,0,,,2011
Havre,201,270,103,1.46,0.00,3,0,,,2011
Detroit,409,"1,531",500,130.89,9.71,119,1,,,2011
Big Bend (formerly Marfa),693,"3,964",547,"50,793",58.46,"1,776",1,21,1,2012
